-5.5,-20.66666667,-5.8,-73.9
-5.4,-20.66666667,-5.8,-95.89
-5.5,-20.33333333,-5.8,-74.6
-5.5,-20.66666667,-5.8,-55.3
-5.4,-20,-5.8,-54.6
-5.5,-20.66666667,-5.8,-72.7
-5.5,-20.33333333,-5.8,
-5.5,-20.66666667,-5.8,
-5.5,-20,-5.8,
-5.4,-20,-5.8,
-5.4,-20.33333333,-5.7,
-5.3,-21,-5.7,
-5.5,-20.33333333,-5.8,
-5.5,-20.66666667,-5.8,
-5.5,-20.33333333,-5.8,
-5.4,-20.66666667,-5.8,
-5.5,-20.66666667,-5.8,
-5.5,-20.33333333,-5.8,
-5.5,-20.33333333,-5.8,
-5.5,-20.33333333,-5.8,
-5.5,-20.33333333,-5.8,
-5.5,-20.33333333,-5.8,
-5.5,-20.33333333,-5.8,
-5.5,-21.66666667,-5.9,
-5.5,-20,-5.8,
-5.5,-20,-5.8,
-5.5,-20,-5.8,
-5.5,-20.33333333,-5.8,
