15084.85229,15353.1218,15377.71513,14956.06655,15450.97534,14563.1068,15431.10654,15301.24323,15061.18607,15141.00057,15069.69735,15180.26566,15212.98174,15212.98174,15186.98981,15160.12886,15084.85229,16340.98182
15102.88843,15353.1218,15380.67162,15457.94152,15459.93301,14641.28843,15432.09877,15312.95859,15078.21826,15144.82236,15368.85246,15236.16049,15288.57179,15212.98174,15192.75812,15193.71993,15102.88843,17895.75721
15106.69101,15360,15384.61539,15472.89021,15465.91056,14874.49644,15435.07621,15321.7569,15082.00842,15153.42846,15374.75977,15242.93427,15294.41754,15222.63098,15233.25928,15214.91061,15106.69101,17897.09172
15121.92048,15390.53482,15389.54793,15477.87953,15466.90726,15311.00479,15440.04117,15340.36433,15097.18815,15157.25654,15383.62926,15242.93427,15297.34209,15226.4941,15238.09524,15228.4264,15121.92048,17894.42291
15122.87335,15411.28877,15391.52184,15488.86738,15467.9041,15342.32564,15444.01544,15346.24976,15099.08776,15161.08655,15384.61539,15244.87074,15301.24323,15227.46019,15239.0628,15240.03048,15122.87335,17898.42643
15122.87335,15413.26826,15391.52184,15494.86733,15469.89816,15516.90696,15447.99176,15358.03417,15099.08776,15169.71114,15386.58802,15258.43983,15302.21882,15231.32576,15241.96621,15248.74516,15122.87335,17893.08879
15130.50057,15413.26826,15396.45881,15497.86904,15472.89021,15544.04145,15448.98616,15358.03417,15101.93808,15174.50683,15387.57453,15263.29178,15307.09867,15232.29246,15250.6831,15250.6831,15130.50057,17893.08879
15177.3857,15414.25819,15400.41068,15510.88994,15478.87778,15567.23098,15449.98069,15362.94969,15117.15797,15175.46633,15387.57453,15281.7574,15309.05148,15236.16049,15252.62154,15252.62154,15177.3857,17866.4483
15186.02885,15416.23844,15400.41068,15518.91368,15480.87467,15578.3461,15449.98069,15364.91677,15124.77943,15189.87342,15389.54793,15282.73052,15309.05148,15238.09524,15274.94908,15255.53013,15186.02885,15512.89509
15188.91209,15416.23844,15400.41068,15520.92091,15485.86914,15586.4398,15450.97534,15367.86835,15128.59304,15199.49335,15390.53482,15286.6242,15310.02807,15244.87074,15282.73052,15271.06134,15188.91209,17893.08879
15192.75812,15418.2192,15401.39896,15523.93273,15490.86684,15589.4771,15453.96008,15369.8367,15131.45451,15200.45601,15392.50898,15288.57179,15311.00479,15245.83916,15282.73052,15274.94908,15192.75812,17894.42291
15204.30789,15420.20046,15402.38737,15525.94126,15490.86684,15603.66686,15454.95525,15372.79016,15133.36276,15202.38171,15393.49625,15288.57179,15311.98163,15258.43983,15284.67711,15275.92133,15204.30789,17894.42291
15205.27116,15420.20046,15402.38737,15526.94572,15491.86677,15606.71089,15454.95525,15374.75977,15144.82236,15210.08936,15394.48364,15291.49411,15311.98163,15262.32115,15284.67711,15277.86619,15205.27116,17870.43932
15212.98174,15428.13063,15402.38737,15529.95988,15494.86733,15609.7561,15454.95525,15375.74476,15150.55868,15225.52814,15395.47117,15297.34209,15314.9129,15263.29178,15284.67711,15277.86619,15212.98174,17915.79576
15232.29246,15435.07621,15402.38737,15533.98058,15495.86777,15610.77143,15454.95525,15375.74476,15160.12886,15226.4941,15399.42252,15297.34209,15316.8677,15266.20444,15285.6506,15279.81155,15232.29246,17891.75488
15234.22623,15439.04793,15403.37591,15536.99748,15496.86834,15613.81823,15458.9372,15377.71513,15163.96032,15228.4264,15402.38737,15298.31719,15316.8677,15267.17557,15285.6506,15279.81155,15234.22623,17897.09172
15236.16049,15440.04117,15403.37591,15536.99748,15496.86834,15614.83409,15460.92894,15381.65737,15167.79372,15231.32576,15402.38737,15303.19454,15316.8677,15267.17557,15286.6242,15281.7574,15236.16049,
15246.8077,15441.03455,15403.37591,15538.00337,15498.86987,15618.89887,15465.91056,15383.62926,15189.87342,15233.25928,15402.38737,15305.14636,15317.84529,15271.06134,15287.59794,15281.7574,15246.8077,
15251.65226,15442.02805,15404.36457,15539.00939,15499.87083,15619.91539,15466.90726,15386.58802,15191.79643,15233.25928,15403.37591,15309.05148,15317.84529,15271.06134,15287.59794,15281.7574,15251.65226,
15252.62154,15442.02805,15405.35336,15539.00939,15499.87083,15628.05235,15467.9041,15387.57453,15194.68186,15235.1933,15404.36457,15313.93568,15319.80084,15275.92133,15289.54577,15282.73052,15252.62154,
15257.4698,15442.02805,15406.34228,15544.04145,15501.87314,15629.07007,15468.90106,15388.56117,15208.16171,15241.96621,15404.36457,15315.89024,15319.80084,15276.8937,15290.51988,15282.73052,15257.4698,
15260.38024,15442.02805,15408.32049,15546.05519,15504.87758,15636.1978,15469.89816,15389.54793,15210.08936,15244.87074,15405.35336,15317.84529,15320.77881,15276.8937,15291.49411,15283.70375,15260.38024,
15260.38024,15443.02169,15410.29922,15549.07677,15505.87931,15638.23549,15469.89816,15389.54793,15211.05337,15248.74516,15405.35336,15317.84529,15321.7569,15276.8937,15292.46846,15284.67711,15260.38024,
